time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-17T13:44:29.110Z,-34.3184,-72.382,10,4.6,mb,,169,1.042,0.88,us,us70005uzj,2019-10-18T20:42:52.040Z,"99km WNW of Santa Cruz, Chile",earthquake,3.4,2,0.193,8,reviewed,us,us
2019-10-17T06:35:03.054Z,-23.7452,-68.9941,92.41,4.2,mwr,,43,1.088,0.83,us,us70005uw2,2019-10-17T07:04:58.040Z,"121km SW of San Pedro de Atacama, Chile",earthquake,5.9,5.9,0.05,39,reviewed,us,us
2019-10-17T03:26:43.155Z,1.7728,-90.813,10,4.8,mb,,161,2.487,1.01,us,us70005uv3,2019-10-17T03:42:12.040Z,"282km N of Puerto Ayora, Ecuador",earthquake,7.1,1.9,0.037,227,reviewed,us,us
2019-10-17T01:56:32.706Z,3.3642,126.8324,35,4.7,mb,,129,2.629,0.79,us,us70005uuq,2019-10-17T02:17:50.040Z,"223km NW of Tobelo, Indonesia",earthquake,12.9,2,0.166,11,reviewed,us,us
2019-10-17T01:28:56.525Z,5.1682,126.2273,75.31,5,mww,,104,1.996,0.88,us,us70005uuk,2019-10-17T02:09:25.663Z,"88km ESE of Sarangani, Philippines",earthquake,4,7.4,0.078,16,reviewed,us,us
2019-10-16T23:59:53.100Z,-47.796,-9.8532,10,5,mb,,107,24.176,0.78,us,us70005utz,2019-10-17T00:17:39.040Z,"Southern Mid-Atlantic Ridge",earthquake,8.6,1.8,0.089,40,reviewed,us,us
2019-10-16T21:10:18.099Z,-7.5328,127.8796,10,4.9,mb,,32,3.417,1.1,us,us70005usg,2019-10-16T22:12:13.040Z,"278km ENE of Dili, East Timor",earthquake,6.2,1.9,0.07,65,reviewed,us,us
2019-10-16T20:31:59.422Z,-40.3222,-91.8054,10,4.7,mb,,109,14.712,0.74,us,us70005us5,2019-10-16T22:43:02.040Z,"West Chile Rise",earthquake,8.4,1.9,0.05,121,reviewed,us,us
2019-10-16T19:17:19.670Z,-29.1917,-12.9564,10,4.8,mb,,83,27.778,0.54,us,us70005uri,2019-10-16T19:37:54.040Z,"Southern Mid-Atlantic Ridge",earthquake,12.6,1.9,0.072,60,reviewed,us,us
2019-10-16T16:18:41.804Z,-6.3014,130.8666,109.74,4.5,mb,,67,1.724,1.02,us,us70005up9,2019-10-16T21:35:43.040Z,"188km NNW of Saumlaki, Indonesia",earthquake,8.3,7.3,0.081,45,reviewed,us,us
2019-10-16T13:51:28.590Z,-22.3961,-66.1111,256.17,4.5,mb,,58,1.988,0.7,us,us70005umc,2019-10-16T14:07:26.040Z,"55km NW of Abra Pampa, Argentina",earthquake,9,10.7,0.121,20,reviewed,us,us
2019-10-16T07:30:41.677Z,1.3303,97.1682,31.42,4.6,mb,,203,0.408,0.54,us,us70005uji,2019-10-16T07:55:26.040Z,"154km SE of Sinabang, Indonesia",earthquake,8.9,4.9,0.117,22,reviewed,us,us
2019-10-16T02:25:29.324Z,-3.3571,130.6156,17.04,4.7,mb,,80,4.645,1.23,us,us70005ui7,2019-10-16T02:44:07.040Z,"188km E of Amahai, Indonesia",earthquake,9,5,0.093,35,reviewed,us,us
2019-10-16T02:18:21.265Z,1.3233,96.9846,10,4.9,mb,,151,0.591,0.94,us,us70005ui6,2019-10-16T02:38:25.040Z,"144km SSE of Sinabang, Indonesia",earthquake,6.7,1.9,0.078,52,reviewed,us,us
2019-10-15T22:41:45.139Z,-17.7633,-178.6436,563.47,4.5,mb,,72,3.148,0.81,us,us70005uh4,2019-10-18T04:42:26.040Z,"257km SE of Lambasa, Fiji",earthquake,11.8,7,0.064,72,reviewed,us,us
2019-10-15T19:56:47.470Z,4.7673,-82.5734,10,5.1,mww,,75,3.694,0.77,us,us70005ufv,2019-10-17T20:41:38.040Z,"South of Panama",earthquake,4.3,1.8,0.056,31,reviewed,us,us
2019-10-15T18:56:48.714Z,1.2136,96.9161,10,4.7,mb,,111,0.665,0.94,us,us70005uf8,2019-10-16T16:56:58.040Z,"152km SSE of Sinabang, Indonesia",earthquake,5.5,1.9,0.078,49,reviewed,us,us
2019-10-15T17:36:01.170Z,-20.1519,-173.3372,10,4.9,mb,,75,3.387,1.13,us,us70005uev,2019-10-16T15:48:11.040Z,"112km ESE of Pangai, Tonga",earthquake,9.7,1.8,0.049,139,reviewed,us,us
2019-10-15T17:17:06.504Z,-7.2047,129.1602,124.53,4.4,mb,,116,2.256,1.35,us,us70005ueg,2019-10-16T14:59:40.040Z,"251km WNW of Saumlaki, Indonesia",earthquake,8,8.1,0.092,41,reviewed,us,us
2019-10-15T15:37:58.403Z,-5.595,151.9533,35,4.7,mb,,93,1.41,0.68,us,us70005ucq,2019-10-15T16:10:44.040Z,"141km SSW of Kokopo, Papua New Guinea",earthquake,5.7,1.9,0.115,23,reviewed,us,us
2019-10-15T14:42:03.338Z,-57.0406,-25.0924,10,4.9,mb,,129,7.013,0.7,us,us70005ubv,2019-10-15T20:38:51.040Z,"134km ESE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,7.2,1.9,0.095,35,reviewed,us,us
2019-10-15T10:45:13.814Z,-14.3907,166.6176,10,5.1,mb,,43,1.193,0.8,us,us70005uat,2019-10-15T11:37:20.040Z,"86km NNW of Port-Olry, Vanuatu",earthquake,8.3,1.9,0.083,47,reviewed,us,us
2019-10-15T03:53:26.113Z,-55.659,-26.8873,10,4.9,mb,,127,5.699,1.09,us,us70005u90,2019-10-15T04:40:19.040Z,"117km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,13.4,1.9,0.095,35,reviewed,us,us
2019-10-15T03:00:14.509Z,-4.4564,101.0896,10,5.1,mb,,104,1.863,0.92,us,us70005u8l,2019-10-15T03:17:15.040Z,"149km WSW of Bengkulu, Indonesia",earthquake,7.2,1.9,0.073,62,reviewed,us,us
2019-10-15T01:37:35.901Z,5.6985,126.7143,75.93,4.5,mb,,172,1.768,0.49,us,us70005u8b,2019-10-15T01:54:39.040Z,"94km SE of Pondaguitan, Philippines",earthquake,11.8,9.1,0.14,15,reviewed,us,us
2019-10-14T23:18:45.179Z,-6.2801,130.1894,154.05,4.5,mb,,90,2.018,1.23,us,us70005u7u,2019-10-14T23:42:41.040Z,"222km NW of Saumlaki, Indonesia",earthquake,5.3,9.3,0.135,16,reviewed,us,us
2019-10-14T22:23:52.684Z,-4.5312,101.1508,10,5.9,mww,,39,1.807,0.71,us,us70005u76,2019-10-16T16:42:12.040Z,"147km WSW of Bengkulu, Indonesia",earthquake,6.7,1.8,0.071,19,reviewed,us,us
2019-10-14T22:00:10.537Z,-21.3263,-173.9835,10,5.2,mb,,66,4.418,0.96,us,us70005u77,2019-10-14T22:48:48.040Z,"100km E of `Ohonua, Tonga",earthquake,10.9,1.8,0.041,199,reviewed,us,us
2019-10-14T21:33:20.785Z,-55.8242,-27.1124,10,5.6,mb,,68,5.606,0.81,us,us70005u6q,2019-10-16T17:35:26.040Z,"97km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.7,1.9,0.056,113,reviewed,us,us
2019-10-14T21:26:31.539Z,-8.9799,128.547,10,4.4,mb,,57,2.896,1.2,us,us70005u6h,2019-10-14T22:58:32.040Z,"Timor Sea",earthquake,6.4,1.6,0.19,8,reviewed,us,us
2019-10-14T21:07:13.143Z,-6.0186,146.9634,108.33,5,mb,,44,3.369,0.73,us,us70005u63,2019-10-14T21:24:30.040Z,"77km N of Lae, Papua New Guinea",earthquake,7.8,7.3,0.1,32,reviewed,us,us
